sensor,plz,city,district,temperatur_s,air_humidity_s,air_pressure_s
6326,60438,Frankfurt,Kalbach-Riedberg,1,2,0
3945,60438,Frankfurt,Kalbach-Riedberg,1,2,0
16027,60439,Frankfurt,Niederursel,1,1,1
16403,60439,Frankfurt,Heddernheim,1,1,0
1575,60433,Frankfurt,Eschersheim,1,1,0
13415,60435,Frankfurt,Eckenheim,1,1,0
12954,60435,Frankfurt,Eckenheim,1,2,0
11976,60431,Frankfur,Ginnheim,1,1,0
6761,60385,Frankfurt,Bornheim,1,1,0
9469,60386,Frankfurt,Fechenheim,1,1,0
15268,60385,Frankfurt,Bornheim,1,0,0
10643,60488,Frankfurt,Hausen,1,1,0
5065,60389,Frankfurt,Nordend-West,1,0,0
761,60386,Frankfurt,Riederwald,1,1,0
996,60389,Frankfurt,Nordend-Ost,1,2,0
13728,60386,Frankfurt,Fechenheim,1,1,0
2856,60323,Frankfurt,Westend-Süd,1,2,0
1569,60316,Frankfurt,Nordend-Ost,1,2,0
5497,60316,Frankfurt,Ostend,1,1,0
11799,60486,Frankfurt,Westend-Süd,1,1,0
16173,60313,Frankfurt,Innenstadt,1,1,0
8228,60385,Frankfurt,Ostend,1,1,0
7098,60313,Frankfurt,Innenstadt,1,1,0
1262,60314,Frankfurt,Ostend,1,2,0
3177,60486,Frankfurt,Bockenheim,0,0,0
4585,60326,Frankfurt,Gallus,1,1,0
3423,65934,Frankfurt,Nied,1,1,0
3731,65934,Frankfurt,Nied,1,2,0
691,60529,Frankfurt,Schwanheim,0,0,0
3777,60528,Frankfurt,Sachsenhausen-Süd,1,1,0
3111,60594,Frankfurt,Sachsenhausen-Nord,0,0,0
13656,60594,Frankfurt,Sachsenhausen-Nord,1,1,0
11054,60594,Frankfurt,Sachsenhausen-Nord,1,1,0
